Title,Year,IMDB,Kills
Transporter 2,2005,http://www.imdb.com/title/tt0388482/,11
Troy,2004,http://www.imdb.com/title/tt0332452/,572
True Lies,1994,http://www.imdb.com/title/tt0111503/,71
True Romance,1993,http://imdb.com/title/tt0108399/,21
Unbreakable,2000,http://www.imdb.com/title/tt217869/,4
Under Siege,1992,http://www.imdb.com/title/tt0105690/,65
Under Siege 2,1995,http://www.imdb.com/title/tt0114781/,47
Underworld,2003,http://www.imdb.com/title/tt0320691/,58
Underworld: Evolution,2006,http://www.imdb.com/title/tt0401855/,75
Universal Soldier,1992,http://www.imdb.com/title/tt0105698/,47
The Usual Suspects,1995,http://www.imdb.com/title/tt0114814/,39
V for Vendetta,2006,http://www.imdb.com/title/tt0434409/,59
Valkyrie,2008,http://www.imdb.com/title/tt0985699/,18
Vampires: The Turning,2005,http://www.imdb.com/title/tt0398378/,53
Versus,2000,http://www.imdb.com/title/tt0275773/,127
Videodrome,1983,http://www.imdb.com/title/tt0086541/,8
A View To A Kill,1985,http://www.imdb.com/title/tt0090264,37
Waist Deep,2006,http://imdb.com/title/tt0456020/,6
Walk Hard: The Dewey Cox Story,2007,http://www.imdb.com/title/tt0841046/,5
Walking Tall,2004,http://www.imdb.com/title/tt0351977/,6
War,2007,http://www.imdb.com/title/tt0499556/,97
"War, Inc.",2008,http://www.imdb.com/title/tt0884224/,73
War of the Worlds,2005,http://www.imdb.com/title/tt0407304/,52
Wasabi,2001,http://www.imdb.com/title/tt0281364/,22
The Way of the Gun,2000,http://www.imdb.com/title/tt0202677/,18
We Were Soldiers,2002,http://www.imdb.com/title/tt0277434/,305
Where Eagles Dare,1968,http://www.imdb.com/title/tt0065207/,100
The Wild Bunch,1969,http://www.imdb.com/title/tt0065214/,145
X-Men,2000,http://www.imdb.com/title/tt0120903/,6
X2: X-Men United,2000,http://www.imdb.com/title/tt0290334/,26
X-Men: The Last Stand,2006,http://www.imdb.com/title/tt0376994/,57
XXX,2002,http://www.imdb.com/title/tt0295701/,75
XXX: State of the Union,2005,http://www.imdb.com/title/tt0329774/,66
The Yakuza,1974,http://www.imdb.com/title/tt0073918/,31
The Yards,2000,http://imdb.com/title/tt0138946,2
You Kill Me,2007,http://www.imdb.com/title/tt0796375/,10
You Only Live Twice,1967,http://www.imdb.com/title/tt0062512,91
Zodiac,2007,http://www.imdb.com/title/tt0443706/,3
Zoolander,2001,http://www.imdb.com/title/tt0196229/,4
Zulu,1964,http://www.imdb.com/title/tt0058777/,140
